,year,county_code,CO,NO2,Ozone,PM10,PM2_5,SO2,census_unique_no,population,county_name
0,2010,1,0,36.93333333,43.2189781,0,51.52525253,0,0,1512986,Alameda
1,2011,1,0,34.85,46.72992701,0,53.58173077,0,1,1530915,Alameda
2,2012,1,0,35.30434783,42.93333333,0,49.72839506,91,2,1553764,Alameda
3,2013,1,0,36.84615385,43.4939759,0,55.18215613,0,3,1579593,Alameda
4,2014,1,0,36.51515152,45.36129032,0,52.31638418,0,4,1607792,Alameda
5,2015,1,0,38.6,49.68333333,0,54.17647059,0,5,1634538,Alameda
6,2016,1,0,34,51.62616822,0,49.35036496,0,6,1650950,Alameda
7,2017,1,0,44.42857143,48.32727273,0,57.17427386,0,7,1660196,Alameda
8,2018,1,0,37.6,46.68055556,0,59.59363958,0,8,1666756,Alameda
9,2019,1,0,36.17857143,44.98857143,0,48.63580247,0,9,1671329,Alameda
10,2010,5,0,0,40.32409972,0,0,0,20,37886,Amador
11,2011,5,0,0,41.62258953,0,0,0,21,37543,Amador
12,2012,5,0,0,47.71625344,0,0,0,22,37104,Amador
13,2013,5,0,0,39.36986301,0,0,0,23,36620,Amador
14,2014,5,0,0,46.12534819,0,0,0,24,36726,Amador
15,2015,5,0,0,42.84340659,0,0,0,25,37031,Amador
16,2016,5,0,0,40.99180328,0,0,0,26,37429,Amador
17,2017,5,0,0,41.47790055,0,0,0,27,38529,Amador
18,2018,5,0,0,43.41758242,0,0,0,28,39405,Amador
19,2019,5,0,0,40.27605634,0,0,0,29,39752,Amador
20,2010,7,0,0,53.97348485,0,55.91089109,0,30,219949,Butte
21,2011,7,0,0,60.54444444,0,61.2972973,0,31,219975,Butte
22,2012,7,0,0,60.4826087,0,65.41176471,0,32,220869,Butte
23,2013,7,0,0,56.54298643,0,66.85416667,0,33,221641,Butte
24,2014,7,0,0,55.00438596,0,60.19708029,0,34,223516,Butte
25,2015,7,0,0,55,57,62.35433071,0,35,224631,Butte
26,2016,7,0,0,55.71859296,0,58.50299401,0,36,226231,Butte
27,2017,7,0,0,59.57798165,68,65.99310345,0,37,228696,Butte
28,2018,7,0,0,60.67980296,53,78.34782609,0,38,230339,Butte
29,2019,7,0,0,45.01298701,41,56.60150376,0,39,219186,Butte
30,2010,9,0,0,48.63022508,0,40.12962963,0,40,45468,Calaveras
31,2011,9,0,0,54.84552846,0,50.97457627,0,41,45160,Calaveras
32,2012,9,0,0,53.63345196,7,42.94047619,0,42,44815,Calaveras
